192.168.18.9 - - [27/Apr/2026 16:04:22] "GET / HTTP/1.1" 200 -
192.168.18.2 - - [27/Apr/2026 16:05:28] "GET / HTTP/1.1" 200 -
192.168.18.2 - - [27/Apr/2026 16:05:28] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
192.168.18.2 - - [27/Apr/2026 16:05:28] "GET /manifest.json HTTP/1.1" 200 -
192.168.18.2 - - [27/Apr/2026 16:05:28] "GET /main.dart.js HTTP/1.1" 200 -
192.168.18.2 - - [27/Apr/2026 16:05:28] "GET /assets/FontManifest.json HTTP/1.1" 200 -
192.168.18.2 - - [27/Apr/2026 16:05:28] "GET /favicon.png HTTP/1.1" 200 -
192.168.18.2 - - [27/Apr/2026 16:05:28] "GET /assets/fonts/MaterialIcons-Regular.otf HTTP/1.1" 200 -
192.168.18.2 - - [27/Apr/2026 16:05:58] "GET / HTTP/1.1" 200 -
192.168.18.2 - - [27/Apr/2026 16:05:58] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
192.168.18.2 - - [27/Apr/2026 16:05:58] "GET /manifest.json HTTP/1.1" 200 -
192.168.18.2 - - [27/Apr/2026 16:05:58] "GET /main.dart.js HTTP/1.1" 200 -
192.168.18.2 - - [27/Apr/2026 16:05:59] "GET /assets/FontManifest.json HTTP/1.1" 200 -
192.168.18.2 - - [27/Apr/2026 16:05:59] "GET /favicon.png HTTP/1.1" 200 -
192.168.18.2 - - [27/Apr/2026 16:05:59] "GET /assets/fonts/MaterialIcons-Regular.otf HTTP/1.1" 304 -
